Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
20,Sat,2020-02-01,13:00 (06:00),Karlsruher,,Holstein Kiel,,Wildparkstadion,,,
20,Sat,2020-02-01,13:00 (06:00),Hannover 96,,Wehen,,HDI-Arena,,,
20,Sun,2020-02-02,13:30 (06:30),Darmstadt 98,,Osnabrück,,Jonathan-Heimes-Stadion am Böllenfalltor,,,
20,Sun,2020-02-02,13:30 (06:30),Nürnberg,,Sandhausen,,Max-Morlock-Stadion,,,
20,Sun,2020-02-02,13:30 (06:30),Heidenheim,,Dynamo Dres,,Voith-Arena,,,
20,Mon,2020-02-03,20:30 (13:30),Bochum,,Hamburger SV,,Vonovia Ruhrstadion,,,
,,,,,,,,,,,
21,Fri,2020-02-07,18:30 (11:30),Dynamo Dres,,Darmstadt 98,,DDV-Stadion,,,
21,Fri,2020-02-07,18:30 (11:30),Sandhausen,,Heidenheim,,Hardtwaldstadion,,,
21,Sat,2020-02-08,13:00 (06:00),Stuttgart,,Erzgebirge Aue,,Mercedes-Benz Arena,,,
21,Sat,2020-02-08,13:00 (06:00),Hamburger SV,,Karlsruher,,Volksparkstadion,,,
21,Sat,2020-02-08,13:00 (06:00),Osnabrück,,Nürnberg,,Stadion an der Bremer Brücke,,,
21,Sun,2020-02-09,13:30 (06:30),Arminia,,Jahn R'burg,,SchücoArena Kunstrasenplatz,,,
21,Sun,2020-02-09,13:30 (06:30),Greuther Fürth,,Hannover 96,,Sportpark Ronhof Thomas Sommer,,,
21,Sun,2020-02-09,13:30 (06:30),Wehen,,Bochum,,BRITA-Arena,,,
21,Mon,2020-02-10,20:30 (13:30),Holstein Kiel,,St. Pauli,,Holstein-Stadion,,,
,,,,,,,,,,,
22,Fri,2020-02-14,18:30 (11:30),Heidenheim,,Nürnberg,,Voith-Arena,,,
22,Fri,2020-02-14,18:30 (11:30),St. Pauli,,Dynamo Dres,,Millerntor-Stadion,,,
22,Sat,2020-02-15,13:00 (06:00),Greuther Fürth,,Arminia,,Sportpark Ronhof Thomas Sommer,,,
22,Sat,2020-02-15,13:00 (06:00),Hannover 96,,Hamburger SV,,HDI-Arena,,,
22,Sat,2020-02-15,13:00 (06:00),Jahn R'burg,,Wehen,,Continental Arena,,,
22,Sun,2020-02-16,13:30 (06:30),Karlsruher,,Osnabrück,,Wildparkstadion,,,
22,Sun,2020-02-16,13:30 (06:30),Erzgebirge Aue,,Holstein Kiel,,Sparkassen-Erzgebirgsstadion,,,
